1-Mean of test accuracies:  83.06800079345703
Confidence interval:  81.37999725341797 84.48999786376953
2-Mean of test accuracies:  83.09100341796875
Confidence interval:  80.9000015258789 84.56999969482422
3-Mean of test accuracies:  82.35399627685547
Confidence interval:  79.30000305175781 84.2300033569336
4-Mean of test accuracies:  83.0669937133789
Confidence interval:  79.5999984741211 84.48999786376953
5-Mean of test accuracies:  81.11000061035156
Confidence interval:  76.98999786376953 84.55999755859375
6-Mean of test accuracies:  82.83499908447266
Confidence interval:  81.36000061035156 85.41000366210938
7-Mean of test accuracies:  81.99300384521484
Confidence interval:  80.55000305175781 83.01000213623047
8-Mean of test accuracies:  78.90800476074219
Confidence interval:  72.47000122070312 83.13999938964844
9-Mean of test accuracies:  82.47300720214844
Confidence interval:  79.91999816894531 83.79000091552734
10-Mean of test accuracies:  82.76699829101562
Confidence interval:  80.91000366210938 84.41999816894531
11-Mean of test accuracies:  83.62899780273438
Confidence interval:  82.3499984741211 84.79000091552734
12-Mean of test accuracies:  83.08699035644531
Confidence interval:  80.08000183105469 85.44999694824219
13-Mean of test accuracies:  82.31099700927734
Confidence interval:  80.22000122070312 84.44999694824219
14-Mean of test accuracies:  83.4020004272461
Confidence interval:  79.48999786376953 84.94999694824219
15-Mean of test accuracies:  82.55999755859375
Confidence interval:  81.6500015258789 83.5
16-Mean of test accuracies:  74.39399719238281
Confidence interval:  71.25 77.19000244140625
